order_id,order_date,order_time,order_status,sales_channel,customer_id,customer_name,customer_age,gender,customer_segment,customer_type,customer_city,customer_state,customer_country,region,customer_postal_code,payment_method,payment_status,currency,shipping_method,warehouse,delivery_days,estimated_delivery_days,delivery_status,return_status,return_reason,customer_rating,review_sentiment,customer_review,marketing_channel,campaign_name,coupon_code,loyalty_points_earned,loyalty_points_redeemed,quantity,gross_sales,discount_amount,tax_amount,shipping_cost,net_sales,product_cost,profit,profit_margin_percentage,customer_lifetime_value,is_repeat_customer,customer_order_count,gross_sales_normalized,customer_age_scaled,customer_lifetime_value_scaled
ORD-301242,2023-11-06,16:37:47,Completed,Mobile App,CUST-003102,Jasmine Ryan,55,Male,Consumer,Loyal,Lake Williamberg,Texas,USA,South,86040,Digital Wallet,Paid,USD,Standard,WH-003,3.0,3.0,On Time,Not Returned,Not Applicable,3.5,Positive,Satisfied with the purchase.,Direct,Default_Campaign,No Coupon,94,44,5,1350.19,477.89,61.07,12.03,945.4,588.33,345.04,36.5,12459.68,True,11,18.844116232316487,0.6607142857142857,0.41120066230486196
ORD-773460,2025-12-24,01:22:36,Completed,Website,CUST-003124,Scott Chase,26,Male,Premium,Loyal,Kristyport,Baden-Württemberg,Germany,South,62538,Debit Card,Pending,EUR,Economy,WH-005,10.0,10.0,On Time,Not Returned,Not Applicable,3.6,Positive,Good value for money.,Direct,Default_Campaign,No Coupon,201,171,8,3144.64,1456.0600000000002,320.83,9.0,2018.41,2031.88,-22.47000000000001,-1.11,13032.48,True,11,23.90931304919244,0.14285714285714285,0.4301387725737282
ORD-449374,2021-07-05,14:24:21,Completed,Mobile App,CUST-012496,Marc Wheeler,69,Female,Premium,Loyal,Singletonhaven,New York,USA,East,19993,Cash on Delivery,Paid,USD,Express,WH-015,3.0,3.0,On Time,Not Returned,Not Applicable,4.3,Positive,Good product. Works as expected.,YouTube,Unknown Campaign,No Coupon,46,16,5,522.81,97.3,29.79,13.05,468.35,257.73,197.57,42.18,6159.4400000000005,True,6,14.235909647630166,0.9107142857142856,0.20289996425960688
ORD-567636,2023-01-21,07:20:26,Completed,Social Media,CUST-023928,Jennifer Smith,65,Male,Consumer,Loyal,Wigginsstad,North Carolina,USA,South,66329,Debit Card,Paid,USD,Express,WH-010,2.0,2.0,On Time,Not Returned,Not Applicable,3.5,Positive,Satisfied with the purchase.,Email Marketing,Unknown Campaign,No Coupon,54,10,2,544.62,53.34,34.39,20.85,546.52,277.84000000000003,247.83,45.35,5638.3,True,7,14.414010914382283,0.8392857142857142,0.18566985464801997
ORD-820028,2022-05-13,09:46:21,Completed,Social Media,CUST-012730,Jessica Wang,34,Female,Consumer,Loyal,New Michaelton,Gujarat,India,West,77306,Digital Wallet,Paid,INR,Standard,WH-013,6.0,5.0,Delayed,Not Returned,Not Applicable,3.0,Neutral,Mixed feelings about this purchase.,Direct,Unknown Campaign,No Coupon,278,147,6,2474.52,133.63,421.35,23.03,2785.27,1231.88,1530.36,54.94,13240.1,True,8,22.37019977955025,0.2857142857142857,0.43700317629932534
ORD-208728,2021-02-10,10:05:47,Pending,Website,CUST-021468,Dominique Odom,41,Female,Consumer,Returning,Morrisonfort,Alberta,Canada,Central,4206,Credit Card,Paid,CAD,Standard,WH-018,,,Cancelled,Not Returned,Not Applicable,,,,Organic Search,Default_Campaign,No Coupon,0,0,9,3203.94,273.91,380.9,64.31,3375.24,1808.61,1502.32,44.51,5615.09,True,3,24.032964939345103,0.4107142857142857,0.18490247765894804
ORD-686230,2021-05-03,02:55:44,Completed,Mobile App,CUST-023734,Julian Marshall,61,Female,Consumer,Loyal,Brianville,Texas,USA,South,62032,Credit Card,Paid,USD,Economy,WH-006,9.0,5.0,Delayed,Not Returned,Not Applicable,3.3,Neutral,Average product. Could be better.,Direct,Unknown Campaign,No Coupon,169,57,9,1661.14,139.07999999999998,106.54,63.27,1691.87,757.67,870.9300000000001,51.48,4903.53,True,4,19.994566622881482,0.7678571428571428,0.16137663662732357
ORD-480470,2022-10-13,21:19:50,Completed,Mobile App,CUST-020081,Michael Prince,43,Female,VIP,Loyal,Dominguezbury,New York,USA,East,1670,PayPal,Paid,USD,Standard,WH-003,5.0,5.0,On Time,Not Returned,Not Applicable,4.1,Positive,Met my expectations. Would recommend.,Direct,Default_Campaign,No Coupon,239,121,8,2516.69,300.57,155.13000000000002,22.33,2393.58,1413.53,957.72,40.01,13336.37,True,7,22.475913407755943,0.4464285714285714,0.4401860880932914
ORD-417329,2022-12-06,17:22:52,Completed,Mobile App,CUST-011921,Gary Higgins,22,Female,Consumer,Loyal,Lake Mary,Quebec,Canada,East,21471,Credit Card,Paid,CAD,Same Day,WH-018,0.0,0.0,On Time,Not Returned,Not Applicable,3.4,Neutral,Not what I expected but it's okay.,Referral,Friend_Invite,No Coupon,64,6,2,573.3,31.69,70.41,28.32,640.34,333.26,278.76,43.53,17555.66,True,10,14.640083257611934,0.07142857142857145,0.5796857027516796
ORD-961581,2023-09-19,18:38:32,Completed,Mobile App,CUST-016600,Patricia Gay,36,Female,Consumer,Loyal,Lake Cheyenneton,Pennsylvania,USA,East,85250,Credit Card,Paid,USD,Standard,WH-018,7.0,7.0,On Time,Not Returned,Not Applicable,3.5,Positive,Satisfied with the purchase.,Direct,Default_Campaign,No Coupon,309,287,3,3069.11,188.66,201.63,12.55,3094.63,1926.28,1155.8,37.35,16153.6,True,7,23.749206525757607,0.3214285714285714,0.5333303136393076
